week,원자재명,사용량,,,,,
2021-04-26,사용수,667623.741,,,,,
2021-04-26,공기연행제,5979.944768,,,,,
2021-04-26,RA-300S,23173.18403,,,,,
2021-04-26,PEMA-WRE-600(5,11047.23692,,,,,
2021-04-26,PC소포제,386.073364,,,,,
2021-04-26,PEMA-HR1000 태명,666.1831,,,,,
2021-04-26,PEMA-SR3000F 현,541.070077,,,,,
2021-04-26,PEMA-HR1000 영동,767.002222,,,,,
2021-04-26,PEMA-PR2000 영풍,112.968075,,,,,
2021-04-26,PEMA-SR3000F 대,209.2563,,,,,
2021-04-26,PEMA-HR1500 삼덕,774.28408,,,,,
2021-04-26,CSA5000 서원(태안),866.3413,,,,,
2021-04-26,CSA5000 삼표(풍납),461.466418,,,,,
2021-04-26,PEMA-HR1500 신송,589.067616,,,,,
2021-04-26,PEMA-SR2000 정선,653.836157,,,,,
2021-04-26,PEMA-SR2000 울산,333.230214,,,,,
2021-04-26,액상리그닌,1748.57217,,,,,
2021-04-26,글루콘산소다,11376.31995,,,,,
2021-04-26,ACTICIDE-MVK,397.812974,,,,,
2021-04-26,PEMA-SRE-200(5,10364.51854,,,,,
2021-04-26,WRE-580FX(55%),115524.0924,,,,,
2021-04-26,PEMA-WRE-550(5,9343.795725,,,,,
2021-04-26,WRE-770,87358.67112,,,,,
2021-04-26,WRE-550T,48434.23969,,,,,
2021-04-26,SRE-200SD-T,15273.97822,,,,,
2021-04-26,PEMA-500FR,11683.43058,,,,,
2021-04-26,PEMA-630XR,8487.321292,,,,,
2021-04-26,M30,10888.86079,,,,,
2021-04-26,PCA3000,23799.89841,,,,,
2021-04-26,Urea-20%,66682.19466,,,,,
2021-04-26,소포제(MR-130),793.852577,,,,,
2021-04-26,AE 산하(덕소),165.871452,,,,,
2021-04-26,PEMA-550XD,4231.207222,,,,,
2021-04-26,SRE-110(50%),2790.100731,,,,,
2021-04-26,DEA,725.640719,,,,,
2021-04-26,VK1000,133.370817,,,,,
2021-04-26,Urea,261.482885,,,,,
2021-04-26,PEMA-300HT,94.90365,,,,,
2021-04-26,PEMA-350B,111.18157,,,,,
2021-04-26,설탕,0.025,,,,,
2021-04-26,PEMA-HR1000 내포,540.961383,,,,,
2021-04-26,PEMA-HR1000 동아,445.344213,,,,,
2021-04-26,PEMA-HR1000 서호,261.643347,,,,,
2021-04-26,PEMA-HR1000 동양,482.721834,,,,,
2021-04-26,PEMA-SR3000F 극,538.027679,,,,,
2021-04-26,PEMA-HR1500 우성,488.354101,,,,,
2021-04-26,PEMA-SN400 하남(,389.176164,,,,,
2021-04-26,PEMA-SN400 청명(,1614.76497,,,,,
2021-04-26,PEMA-SN400 유익(,460.201014,,,,,
2021-04-26,PEMA-SR2000 영남,529.527008,,,,,
2021-04-26,PEMA-SP1000 대보,225.116176,,,,,
2021-04-26,MONODN1501,11.151,,,,,
2021-04-26,MONODN1502,11.151,,,,,
2021-04-26,BDG,163.548,,,,,
2021-05-03,사용수,835098.0356,,,,,
2021-05-03,공기연행제,14420.38835,,,,,
2021-05-03,RA-300S,34880.45892,,,,,
2021-05-03,PEMA-WRE-600(5,16360.7701,,,,,
2021-05-03,PC소포제,424.223202,,,,,
2021-05-03,PEMA-HR1000 태명,643.589944,,,,,
2021-05-03,PEMA-SR3000F 현,647.620663,,,,,
2021-05-03,PEMA-HR1000 영동,982.095946,,,,,
2021-05-03,PEMA-PR2000 영풍,109.136838,,,,,
2021-05-03,PEMA-SR3000F 대,202.159512,,,,,
2021-05-03,PEMA-HR1500 삼덕,997.608009,,,,,
2021-05-03,CSA5000 서원(태안),836.959912,,,,,
2021-05-03,CSA5000 삼표(풍납),529.08317,,,,,
2021-05-03,PEMA-HR1500 신송,521.761769,,,,,
2021-05-03,PEMA-SR2000 정선,538.100953,,,,,
2021-05-03,PEMA-SR2000 울산,406.067918,,,,,
2021-05-03,액상리그닌,2455.481414,,,,,
2021-05-03,글루콘산소다,15257.75325,,,,,
2021-05-03,ACTICIDE-MVK,503.316728,,,,,
2021-05-03,PEMA-SRE-200(5,12464.38349,,,,,
2021-05-03,WRE-580FX(55%),190058.7002,,,,,
2021-05-03,PEMA-WRE-550(5,10361.27685,,,,,
2021-05-03,WRE-770,119176.303,,,,,
2021-05-03,WRE-550T,57000.307,,,,,
2021-05-03,SRE-200SD-T,19405.93014,,,,,
2021-05-03,PEMA-500FR,6301.380447,,,,,
2021-05-03,PEMA-630XR,5970.297723,,,,,
2021-05-03,M30,11482.75193,,,,,
2021-05-03,PCA3000,32439.39234,,,,,
2021-05-03,Urea-20%,89122.9635,,,,,
2021-05-03,소포제(MR-130),1053.649181,,,,,
2021-05-03,AE 산하(덕소),214.30424,,,,,
2021-05-03,PEMA-550XD,2092.687329,,,,,
2021-05-03,SRE-110(50%),3299.94052,,,,,
2021-05-03,DEA,1245.704085,,,,,
2021-05-03,VK1000,131.226216,,,,,
2021-05-03,Urea,593.265765,,,,,
2021-05-03,PEMA-300HT,64.6542,,,,,
2021-05-03,PEMA-350B,147.987043,,,,,
2021-05-03,설탕,0.025,,,,,
2021-05-03,PEMA-HR1000 내포,929.577433,,,,,
2021-05-03,PEMA-HR1000 동아,765.270763,,,,,
2021-05-03,PEMA-HR1000 서호,449.602797,,,,,
2021-05-03,PEMA-HR1000 동양,829.499734,,,,,
2021-05-03,PEMA-SR3000F 극,815.027758,,,,,
2021-05-03,PEMA-HR1500 우성,795.72659,,,,,
2021-05-03,PEMA-SN400 하남(,32.407032,,,,,
2021-05-03,PEMA-SN400 청명(,134.46286,,,,,
2021-05-03,PEMA-SN400 유익(,38.321332,,,,,
2021-05-03,PEMA-SR2000 영남,760.786211,,,,,
2021-05-03,PEMA-SP1000 대보,292.491715,,,,,
2021-05-03,MONODN1501,9.75,,,,,
2021-05-03,MONODN1502,9.75,,,,,
2021-05-03,BDG,143,,,,,
2021-05-10,사용수,881587.5234,,,,,
2021-05-10,공기연행제,13574.54951,,,,,
2021-05-10,RA-300S,36011.48321,,,,,
2021-05-10,PEMA-WRE-600(5,4727.594329,,,,,
2021-05-10,PC소포제,432.903809,,,,,
2021-05-10,PEMA-HR1000 태명,816.80414,,,,,
2021-05-10,PEMA-SR3000F 현,682.340717,,,,,
2021-05-10,PEMA-HR1000 영동,1133.087772,,,,,
2021-05-10,PEMA-PR2000 영풍,138.509655,,,,,
2021-05-10,PEMA-SR3000F 대,256.56822,,,,,
2021-05-10,PEMA-HR1500 삼덕,987.18742,,,,,
2021-05-10,CSA5000 서원(태안),1062.21722,,,,,
2021-05-10,CSA5000 삼표(풍납),578.426658,,,,,
2021-05-10,PEMA-HR1500 신송,757.159406,,,,,
2021-05-10,PEMA-SR2000 정선,851.431877,,,,,
2021-05-10,PEMA-SR2000 울산,421.329014,,,,,
2021-05-10,액상리그닌,2447.059575,,,,,
2021-05-10,글루콘산소다,16958.93657,,,,,
2021-05-10,ACTICIDE-MVK,536.967143,,,,,
2021-05-10,PEMA-SRE-200(5,14574.43351,,,,,
2021-05-10,WRE-580FX(55%),139866.7674,,,,,
2021-05-10,PEMA-WRE-550(5,11691.6847,,,,,
2021-05-10,WRE-770,123409.1528,,,,,
2021-05-10,WRE-550T,61252.46107,,,,,
2021-05-10,SRE-200SD-T,21142.65287,,,,,
2021-05-10,PEMA-500FR,8794.248925,,,,,
2021-05-10,PEMA-630XR,7491.373322,,,,,
2021-05-10,M30,12176.52709,,,,,
2021-05-10,PCA3000,34384.86488,,,,,
2021-05-10,Urea-20%,91828.24696,,,,,
2021-05-10,소포제(MR-130),1126.31869,,,,,
2021-05-10,AE 산하(덕소),211.570412,,,,,
2021-05-10,PEMA-550XD,2985.408083,,,,,
2021-05-10,SRE-110(50%),4040.989604,,,,,
2021-05-10,DEA,721.866091,,,,,
2021-05-10,VK1000,166.934583,,,,,
2021-05-10,Urea,314.82524,,,,,
2021-05-10,PEMA-300HT,125.04915,,,,,
2021-05-10,PEMA-350B,387.966528,,,,,
2021-05-10,설탕,0.025,,,,,
2021-05-10,PEMA-HR1000 내포,724.972903,,,,,
2021-05-10,PEMA-HR1000 동아,596.830933,,,,,
2021-05-10,PEMA-HR1000 서호,350.643027,,,,,
2021-05-10,PEMA-HR1000 동양,646.922794,,,,,
2021-05-10,PEMA-SR3000F 극,950.270705,,,,,
2021-05-10,PEMA-HR1500 우성,745.426147,,,,,
2021-05-10,PEMA-SN400 하남(,159.759276,,,,,
2021-05-10,PEMA-SN400 청명(,662.87123,,,,,
2021-05-10,PEMA-SN400 유익(,188.915426,,,,,
2021-05-10,PEMA-SR2000 영남,1021.84299,,,,,
2021-05-10,PEMA-SP1000 대보,645.585846,,,,,
2021-05-10,MONODN1501,9.45,,,,,
2021-05-10,MONODN1502,9.45,,,,,
2021-05-10,BDG,138.6,,,,,
2021-05-17,사용수,876730.602,,,,,
2021-05-17,공기연행제,7181.411292,,,,,
2021-05-17,RA-300S,35838.0756,,,,,
2021-05-17,PEMA-WRE-600(5,4901.622572,,,,,
2021-05-17,PC소포제,439.479945,,,,,
2021-05-17,PEMA-HR1000 태명,564.014376,,,,,
2021-05-17,PEMA-SR3000F 현,606.957012,,,,,
2021-05-17,PEMA-HR1000 영동,1160.410059,,,,,
2021-05-17,PEMA-PR2000 영풍,95.642802,,,,,
2021-05-17,PEMA-SR3000F 대,177.163848,,,,,
2021-05-17,PEMA-HR1500 삼덕,953.012286,,,,,
2021-05-17,CSA5000 서원(태안),733.475448,,,,,
2021-05-17,CSA5000 삼표(풍납),489.93912,,,,,
2021-05-17,PEMA-HR1500 신송,701.531157,,,,,
2021-05-17,PEMA-SR2000 정선,835.974736,,,,,
2021-05-17,PEMA-SR2000 울산,382.408992,,,,,
2021-05-17,액상리그닌,2521.737478,,,,,
2021-05-17,글루콘산소다,17582.91668,,,,,
2021-05-17,ACTICIDE-MVK,521.440271,,,,,
2021-05-17,PEMA-SRE-200(5,15233.9324,,,,,
2021-05-17,WRE-580FX(55%),134482.4866,,,,,
2021-05-17,PEMA-WRE-550(5,11809.97123,,,,,
2021-05-17,WRE-770,128676.0976,,,,,
2021-05-17,WRE-550T,64281.91988,,,,,
2021-05-17,SRE-200SD-T,31508.58044,,,,,
2021-05-17,PEMA-500FR,9356.042546,,,,,
2021-05-17,PEMA-630XR,7154.544977,,,,,
2021-05-17,M30,10557.33779,,,,,
2021-05-17,PCA3000,33713.62651,,,,,
2021-05-17,Urea-20%,94222.1345,,,,,
2021-05-17,소포제(MR-130),1122.758891,,,,,
2021-05-17,AE 산하(덕소),204.86412,,,,,
2021-05-17,PEMA-550XD,3432.621517,,,,,
2021-05-17,SRE-110(50%),4081.445791,,,,,
2021-05-17,DEA,422.99005,,,,,
2021-05-17,VK1000,151.145042,,,,,
2021-05-17,Urea,261.482885,,,,,
2021-05-17,PEMA-300HT,126.89325,,,,,
2021-05-17,PEMA-350B,417.374325,,,,,
2021-05-17,설탕,0.025,,,,,
2021-05-17,PEMA-HR1000 내포,943.051572,,,,,
2021-05-17,PEMA-HR1000 동아,776.363292,,,,,
2021-05-17,PEMA-HR1000 서호,456.119748,,,,,
2021-05-17,PEMA-HR1000 동양,841.523256,,,,,
2021-05-17,PEMA-SR3000F 극,1159.623585,,,,,
2021-05-17,PEMA-HR1500 우성,939.304143,,,,,
2021-05-17,PEMA-SN400 하남(,211.384884,,,,,
2021-05-17,PEMA-SN400 청명(,877.07557,,,,,
2021-05-17,PEMA-SN400 유익(,249.962734,,,,,
2021-05-17,PEMA-SR2000 영남,1225.038915,,,,,
2021-05-17,PEMA-SP1000 대보,524.845335,,,,,
2021-05-17,MONODN1501,19.686,,,,,
2021-05-17,MONODN1502,19.686,,,,,
2021-05-17,BDG,288.728,,,,,
2021-05-24,사용수,852179.2013,,,,,
2021-05-24,공기연행제,4344.20286,,,,,
2021-05-24,RA-300S,33369.42465,,,,,
2021-05-24,PEMA-WRE-600(5,5904.976053,,,,,
2021-05-24,PC소포제,442.660664,,,,,
2021-05-24,PEMA-HR1000 태명,670.50614,,,,,
2021-05-24,PEMA-SR3000F 현,645.614729,,,,,
2021-05-24,PEMA-HR1000 영동,1046.179844,,,,,
2021-05-24,PEMA-PR2000 영풍,113.701155,,,,,
2021-05-24,PEMA-SR3000F 대,210.61422,,,,,
2021-05-24,PEMA-HR1500 삼덕,981.1993,,,,,
2021-05-24,CSA5000 서원(태안),871.96322,,,,,
2021-05-24,CSA5000 삼표(풍납),531.816666,,,,,
2021-05-24,PEMA-HR1500 신송,633.778217,,,,,
2021-05-24,PEMA-SR2000 정선,702.714129,,,,,
2021-05-24,PEMA-SR2000 울산,403.453598,,,,,
2021-05-24,액상리그닌,2394.845286,,,,,
2021-05-24,글루콘산소다,15833.45137,,,,,
2021-05-24,ACTICIDE-MVK,509.781573,,,,,
2021-05-24,PEMA-SRE-200(5,13740.79448,,,,,
2021-05-24,WRE-580FX(55%),151384.0152,,,,,
2021-05-24,PEMA-WRE-550(5,10873.1681,,,,,
2021-05-24,WRE-770,120547.2618,,,,,
2021-05-24,WRE-550T,57698.84239,,,,,
2021-05-24,SRE-200SD-T,20894.99031,,,,,
2021-05-24,PEMA-500FR,12466.63019,,,,,
2021-05-24,PEMA-630XR,10104.28803,,,,,
2021-05-24,M30,10911.75933,,,,,
2021-05-24,PCA3000,32583.42333,,,,,
2021-05-24,Urea-20%,89038.13165,,,,,
2021-05-24,소포제(MR-130),1072.289132,,,,,
2021-05-24,AE 산하(덕소),210.676124,,,,,
2021-05-24,PEMA-550XD,4607.823742,,,,,
2021-05-24,SRE-110(50%),4015.216328,,,,,
2021-05-24,DEA,1059.552227,,,,,
2021-05-24,VK1000,148.732696,,,,,
2021-05-24,Urea,385.10391,,,,,
2021-05-24,PEMA-300HT,97.7103,,,,,
2021-05-24,PEMA-350B,156.794207,,,,,
2021-05-24,설탕,0.025,,,,,
2021-05-24,PEMA-HR1000 내포,873.668251,,,,,
2021-05-24,PEMA-HR1000 동아,719.243761,,,,,
2021-05-24,PEMA-HR1000 서호,422.561559,,,,,
2021-05-24,PEMA-HR1000 동양,779.609698,,,,,
2021-05-24,PEMA-SR3000F 극,905.011917,,,,,
2021-05-24,PEMA-HR1500 우성,803.022711,,,,,
2021-05-24,PEMA-SN400 하남(,389.176164,,,,,
2021-05-24,PEMA-SN400 청명(,1614.76497,,,,,
2021-05-24,PEMA-SN400 유익(,460.201014,,,,,
2021-05-24,PEMA-SR2000 영남,904.342054,,,,,
2021-05-24,PEMA-SP1000 대보,334.315574,,,,,
2021-05-24,MONODN1501,10.203,,,,,
2021-05-24,MONODN1502,10.203,,,,,
2021-05-24,BDG,149.644,,,,,
2021-05-31,사용수,759963.9824,,,,,
2021-05-31,공기연행제,6886.82764,,,,,
2021-05-31,RA-300S,28316.15558,,,,,
2021-05-31,PEMA-WRE-600(5,3681.065626,,,,,
2021-05-31,PC소포제,400.031189,,,,,
2021-05-31,PEMA-HR1000 태명,628.3565,,,,,
2021-05-31,PEMA-SR3000F 현,563.163956,,,,,
2021-05-31,PEMA-HR1000 영동,924.786151,,,,,
2021-05-31,PEMA-PR2000 영풍,106.553625,,,,,
2021-05-31,PEMA-SR3000F 대,197.3745,,,,,
2021-05-31,PEMA-HR1500 삼덕,835.860065,,,,,
2021-05-31,CSA5000 서원(태안),817.1495,,,,,
2021-05-31,CSA5000 삼표(풍납),470.474804,,,,,
2021-05-31,PEMA-HR1500 신송,691.860639,,,,,
2021-05-31,PEMA-SR2000 정선,814.60567,,,,,
2021-05-31,PEMA-SR2000 울산,349.888692,,,,,
2021-05-31,액상리그닌,2209.749977,,,,,
2021-05-31,글루콘산소다,14653.92641,,,,,
2021-05-31,ACTICIDE-MVK,462.404641,,,,,
2021-05-31,PEMA-SRE-200(5,12920.92435,,,,,
2021-05-31,WRE-580FX(55%),188926.455,,,,,
2021-05-31,PEMA-WRE-550(5,10649.47789,,,,,
2021-05-31,WRE-770,110178.1434,,,,,
2021-05-31,WRE-550T,56559.2213,,,,,
2021-05-31,SRE-200SD-T,18630.06718,,,,,
2021-05-31,PEMA-500FR,10388.94652,,,,,
2021-05-31,PEMA-630XR,8132.383745,,,,,
2021-05-31,M30,10233.37828,,,,,
2021-05-31,PCA3000,28721.73895,,,,,
2021-05-31,Urea-20%,79778.82374,,,,,
2021-05-31,소포제(MR-130),953.485638,,,,,
2021-05-31,AE 산하(덕소),179.312556,,,,,
2021-05-31,PEMA-550XD,3881.874586,,,,,
2021-05-31,SRE-110(50%),3521.677792,,,,,
2021-05-31,DEA,371.723588,,,,,
2021-05-31,VK1000,169.22113,,,,,
2021-05-31,Urea,593.265765,,,,,
2021-05-31,PEMA-300HT,125.56215,,,,,
2021-05-31,PEMA-350B,144.434215,,,,,
2021-05-31,설탕,45.75,,,,,
2021-05-31,PEMA-HR1000 내포,682.336224,,,,,
2021-05-31,PEMA-HR1000 동아,561.730464,,,,,
2021-05-31,PEMA-HR1000 서호,330.021216,,,,,
2021-05-31,PEMA-HR1000 동양,608.876352,,,,,
2021-05-31,PEMA-SR3000F 극,788.820824,,,,,
2021-05-31,PEMA-HR1500 우성,659.70052,,,,,
2021-05-31,PEMA-SN400 하남(,288.453708,,,,,
2021-05-31,PEMA-SN400 청명(,1196.84859,,,,,
2021-05-31,PEMA-SN400 유익(,341.096658,,,,,
2021-05-31,PEMA-SR2000 영남,817.977608,,,,,
2021-05-31,PEMA-SP1000 대보,501.032704,,,,,
2021-05-31,MONODN1501,0.003,,,,,
2021-05-31,MONODN1502,0.003,,,,,
2021-05-31,BDG,0.044,,,,,
2021-06-07,사용수,819858.0148,,,,,
2021-06-07,공기연행제,14447.78017,,,,,
2021-06-07,RA-300S,30310.76091,,,,,
2021-06-07,PEMA-WRE-600(5,5001.762041,,,,,
2021-06-07,PC소포제,441.414745,,,,,
2021-06-07,PEMA-HR1000 태명,635.304996,,,,,
2021-06-07,PEMA-SR3000F 현,571.667229,,,,,
2021-06-07,PEMA-HR1000 영동,1043.931751,,,,,
2021-06-07,PEMA-PR2000 영풍,107.731917,,,,,
2021-06-07,PEMA-SR3000F 대,199.557108,,,,,
2021-06-07,PEMA-HR1500 삼덕,849.650586,,,,,
2021-06-07,CSA5000 서원(태안),826.185708,,,,,
2021-06-07,CSA5000 삼표(풍납),477.194538,,,,,
2021-06-07,PEMA-HR1500 신송,700.760835,,,,,
2021-06-07,PEMA-SR2000 정선,825.118321,,,,,
2021-06-07,PEMA-SR2000 울산,355.290846,,,,,
2021-06-07,액상리그닌,2235.718351,,,,,
2021-06-07,글루콘산소다,15410.47944,,,,,
2021-06-07,ACTICIDE-MVK,499.118253,,,,,
2021-06-07,PEMA-SRE-200(5,13670.50044,,,,,
2021-06-07,WRE-580FX(55%),160280.2411,,,,,
2021-06-07,PEMA-WRE-550(5,12208.8238,,,,,
2021-06-07,WRE-770,112923.7568,,,,,
2021-06-07,WRE-550T,63811.49867,,,,,
2021-06-07,SRE-200SD-T,19324.62452,,,,,
2021-06-07,PEMA-500FR,10041.3912,,,,,
2021-06-07,PEMA-630XR,7370.988585,,,,,
2021-06-07,M30,12527.88878,,,,,
2021-06-07,PCA3000,29432.41453,,,,,
2021-06-07,Urea-20%,83075.67147,,,,,
2021-06-07,소포제(MR-130),969.789669,,,,,
2021-06-07,AE 산하(덕소),182.280372,,,,,
2021-06-07,PEMA-550XD,3331.545133,,,,,
2021-06-07,SRE-110(50%),6218.804195,,,,,
2021-06-07,DEA,417.246346,,,,,
2021-06-07,VK1000,80.054301,,,,,
2021-06-07,Urea,385.10391,,,,,
2021-06-07,PEMA-300HT,127.0998,,,,,
2021-06-07,PEMA-350B,149.634637,,,,,
2021-06-07,설탕,0.025,,,,,
2021-06-07,PEMA-HR1000 내포,697.296495,,,,,
2021-06-07,PEMA-HR1000 동아,574.046445,,,,,
2021-06-07,PEMA-HR1000 서호,337.256955,,,,,
2021-06-07,PEMA-HR1000 동양,622.22601,,,,,
2021-06-07,PEMA-SR3000F 극,967.520702,,,,,
2021-06-07,PEMA-HR1500 우성,738.207862,,,,,
2021-06-07,PEMA-SN400 하남(,288.453708,,,,,
2021-06-07,PEMA-SN400 청명(,1196.84859,,,,,
2021-06-07,PEMA-SN400 유익(,341.096658,,,,,
2021-06-07,PEMA-SR2000 영남,1055.733689,,,,,
2021-06-07,PEMA-SP1000 대보,475.519597,,,,,
2021-06-07,MONODN1501,29.22,,,,,
